winbig,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Offense Four FactorseFG%,Offense Four FactorsTOV%,Offense Four FactorsORB%,Offense Four FactorsFT/FGA,Defense Four FactorseFG%,Defense Four FactorsTOV%,Defense Four FactorsDRB%,Defense Four FactorsFT/FGA,Arena,Attend.,Attend./G,winperc,ORebperc,DRebperc
0,26,New York Knicks,24.5,21,45,20,46,-6.45,-0.26,-6.72,106.5,113,-6.5,98.6,0.263,0.318,0.531,0.501,12.6,25.8,0.182,0.541,12.4,78.3,0.224,Madison Square Garden (IV),620789,18812,0.318181818,25.8,78.3
0,27,Charlotte Hornets,24.3,23,42,19,46,-6.75,-0.28,-7.03,106.3,113.3,-7,95.8,0.252,0.399,0.539,0.504,13.3,23.9,0.188,0.546,13.1,74.4,0.159,Spectrum Center,478591,15428,0.353846154,23.9,74.4
0,28,Atlanta Hawks,24.1,20,47,18,49,-7.97,0.27,-7.71,107.2,114.8,-7.6,103,0.258,0.398,0.554,0.515,13.8,21.6,0.204,0.543,12.7,74.9,0.233,State Farm Arena,545453,16043,0.298507463,21.6,74.9
0,29,Cleveland Cavaliers,25,19,46,18,47,-7.89,0.12,-7.77,107.5,115.4,-7.9,98.7,0.227,0.362,0.553,0.522,14.6,24.6,0.172,0.56,11.7,77.4,0.164,Quicken Loans Arena,643008,17861,0.292307692,24.6,77.4
0,30,Golden State Warriors,24.4,15,50,16,49,-8.71,0.59,-8.12,105.2,113.8,-8.6,100.3,0.264,0.355,0.54,0.497,13.2,21.5,0.212,0.553,13.7,76.4,0.193,Chase Center,614176,18064,0.230769231,21.5,76.4
1,1,Milwaukee Bucks*,26.9,60,22,61,21,8.87,-0.82,8.04,113.8,105.2,8.6,103.3,0.255,0.419,0.583,0.55,12,20.8,0.197,0.503,11.5,80.3,0.162,Fiserv Forum,721692,17602,0.731707317,20.8,80.3
1,2,Golden State Warriors*,28.4,57,25,56,26,6.46,-0.04,6.42,115.9,109.5,6.4,100.9,0.227,0.384,0.596,0.565,12.6,22.5,0.182,0.508,11.7,77.1,0.205,Oracle Arena,803436,19596,0.695121951,22.5,77.1
1,3,Toronto Raptors*,27.3,58,24,56,26,6.09,-0.6,5.49,113.1,107.1,6,100.2,0.247,0.379,0.579,0.543,12.4,21.9,0.198,0.509,13.1,77.1,0.19,Scotiabank Arena,812822,19825,0.707317073,21.9,77.1
0,4,Utah Jazz*,27.3,50,32,54,28,5.26,0.03,5.28,110.9,105.7,5.2,100.3,0.295,0.394,0.572,0.538,13.4,22.9,0.217,0.507,12.4,80.3,0.189,Vivint Smart Home Arena,750546,18306,0.609756098,22.9,80.3
0,5,Houston Rockets*,29.2,53,29,53,29,4.77,0.19,4.96,115.5,110.7,4.8,97.9,0.279,0.519,0.581,0.542,12,22.8,0.221,0.525,13.4,74.4,0.21,Toyota Center,740392,18058,0.646341463,22.8,74.4
1,6,Portland Trail Blazers*,26.2,53,29,51,31,4.2,0.24,4.43,114.7,110.5,4.2,99.1,0.258,0.339,0.568,0.528,12.1,26.6,0.21,0.516,11,77.9,0.195,Moda Center,799345,19496,0.646341463,26.6,77.9
0,7,Denver Nuggets*,24.9,54,28,51,31,3.95,0.24,4.19,113,108.9,4.1,97.7,0.232,0.348,0.558,0.527,11.9,26.6,0.175,0.521,12.3,78,0.194,Pepsi Center,756457,18450,0.658536585,26.6,78
0,8,Boston Celtics*,25.7,49,33,52,30,4.44,-0.54,3.9,112.2,107.8,4.4,99.6,0.215,0.381,0.567,0.534,11.5,21.6,0.173,0.514,13.4,77,0.198,TD Garden,763584,18624,0.597560976,21.6,77
0,9,Oklahoma City Thunder*,25.7,49,33,50,32,3.4,0.15,3.56,110.3,107,3.3,102.8,0.266,0.347,0.545,0.514,11.7,26,0.19,0.523,14.4,78.2,0.206,Chesapeake Energy Arena,746323,18203,0.597560976,26,78.2
0,10,Indiana Pacers*,27,48,34,50,32,3.33,-0.57,2.76,109.9,106.5,3.4,98.1,0.242,0.292,0.561,0.53,12.4,21.9,0.182,0.516,14.1,76.2,0.184,Bankers Life Fieldhouse,689310,16812,0.585365854,21.9,76.2
0,11,Philadelphia 76ers*,26.4,51,31,48,34,2.7,-0.44,2.25,112.6,110,2.6,101.6,0.312,0.342,0.574,0.532,12.9,24.5,0.241,0.512,11.1,78.6,0.206,Wells Fargo Center,838342,20447,0.62195122,24.5,78.6
0,12,San Antonio Spurs*,28.8,48,34,45,37,1.68,0.12,1.8,112.9,111.2,1.7,98.3,0.237,0.286,0.572,0.534,11,21,0.194,0.528,11,79.4,0.17,AT&T Center,750616,18308,0.585365854,21,79.4
0,13,Los Angeles Clippers*,27.2,48,34,43,39,0.85,0.23,1.09,112.4,111.5,0.9,101.7,0.326,0.295,0.575,0.529,12.7,22,0.258,0.514,11.4,76,0.224,STAPLES Center,710327,17325,0.585365854,22,76
0,14,Orlando Magic*,25.7,42,40,43,39,0.71,-0.43,0.28,108.9,108.1,0.8,98.1,0.216,0.36,0.55,0.518,11.9,22,0.168,0.515,11.8,79.7,0.186,Amway Center,720024,17431,0.512195122,22,79.7
0,15,Brooklyn Nets*,25.4,42,40,41,41,-0.07,-0.33,-0.4,109.6,109.7,-0.1,100.8,0.284,0.403,0.556,0.52,13,23.8,0.211,0.512,11.6,76.4,0.19,Barclays Center,612597,14941,0.512195122,23.8,76.4
0,16,Miami Heat,27,39,43,40,42,-0.23,-0.22,-0.45,107.3,107.6,-0.3,98.2,0.247,0.368,0.542,0.515,13.1,24.8,0.172,0.51,12.7,77.6,0.201,AmericanAirlines Arena,805264,19641,0.475609756,24.8,77.6
0,17,Detroit Pistons*,26.9,41,41,40,42,-0.24,-0.31,-0.56,109,109.2,-0.2,97.4,0.262,0.394,0.544,0.509,12.3,24.8,0.195,0.526,12.8,78.7,0.211,Little Caesars Arena,675963,16487,0.5,24.8,78.7
0,18,Sacramento Kings,24.8,39,43,38,44,-1.12,0.31,-0.81,110.4,111.5,-1.1,103.1,0.244,0.321,0.554,0.524,11.5,23.1,0.177,0.533,13.6,75.5,0.207,Golden 1 Center,700975,17097,0.475609756,23.1,75.5
0,19,Dallas Mavericks,26.9,33,49,38,44,-1.28,0.42,-0.87,109.4,110.7,-1.3,99,0.291,0.422,0.555,0.519,12.7,22.7,0.216,0.522,11.6,77.5,0.191,American Airlines Center,820569,20014,0.402439024,22.7,77.5
0,20,Minnesota Timberwolves,26.2,36,46,37,45,-1.5,0.48,-1.02,111.4,112.9,-1.5,100.2,0.267,0.315,0.552,0.511,11.4,24.6,0.21,0.538,12.9,74.9,0.19,Target Center,627543,15306,0.43902439,24.6,74.9
