PlayerName,Pos,Age,MP,OWS,DWS,OBPM,DBPM
Henry Ellenson,PF,23,15,-0.1,0,-7.9,-3.1
Wayne Ellington,SG,32,558,0.2,0.2,-1.9,-1
Joel Embiid,C,25,1329,3.2,2.4,4.1,1.2
James Ennis,SF,29,1053,0.9,1.2,-2.1,-0.3
James Ennis,SF,29,776,0.8,0.9,-1.6,0
James Ennis,SF,29,277,0.1,0.3,-3.7,-1.3
Drew Eubanks,PF,22,130,0.2,0.1,-2.6,-1
Jacob Evans,SG,22,418,-0.7,0.2,-5.7,-1.3
Jacob Evans,SG,22,414,-0.6,0.2,-5.7,-1.3
Jacob Evans,SG,22,4,0,0,-10.4,-5.6
Dante Exum,SG,24,485,0.2,0.2,-2.5,-0.4
Dante Exum,SG,24,83,-0.2,0.1,-5.1,-0.5
Dante Exum,SG,24,402,0.4,0.2,-1.9,-0.4
Tacko Fall,C,24,24,0,0.1,-2,3.1
Derrick Favors,C,28,1089,2.4,1.4,0.8,0.4
Cristiano Felício,PF,27,386,0.7,0.3,-1.4,-1.6
Terrance Ferguson,SF,21,1170,-0.1,0.8,-4.5,0.3
Bruno Fernando,C,21,713,0.4,0.4,-3.2,-1
Yogi Ferrell,PG,26,484,0.1,0.3,-2.1,-0.4
Dorian Finney-Smith,PF,26,1898,2.9,1.6,0,-0.1
Bryn Forbes,SG,26,1579,1.2,0.2,-0.6,-2.1
Evan Fournier,SG,27,1931,2.7,1.7,1.5,-0.3
De'Aaron Fox,PG,22,1426,2.1,1.3,2.1,-0.3
Melvin Frazier,SG,23,51,-0.1,0.1,-6,1.5
Michael Frazier,SG,25,66,0,0,-7.9,-0.9
Tim Frazier,PG,29,355,-0.1,0.2,-2.9,-1.6
Markelle Fultz,PG,21,1813,0.8,1.9,-1.9,0.2
Wenyen Gabriel,PF,22,210,0,0.2,-3.9,0
Wenyen Gabriel,PF,22,61,-0.1,0.1,-4.4,0.5
Wenyen Gabriel,PF,22,149,0.1,0.1,-3.7,-0.2
